sourcename edu city usertype bin rbin tengxun umeng jd max_creditcard max_otherloan salary boapp tongdun zx_query ovd_msg overdue_zx num qudao_type channel_category
亿玛dsp 1.25225225225225 -0.0990990990990991 1.09009009009009 0.945945945945946 1.43981481481481 1.61711711711712 1.74519230769231 1.74418604651163 1.8695652173913 2.17391304347826 1.65765765765766 2.57207207207207 2.88940092165899 2.21739130434783 1.31081081081081 2.39130434782609 222 APP APP信息流
原点时空大额 1.46620046620047 -0.0885780885780886 1.54545454545455 2.21678321678322 2.53521126760563 1.75352112676056 2.08894878706199 2.09885931558935 2.38383838383838 1.78787878787879 1.75524475524476 2.25874125874126 3.18627450980392 2.32323232323232 2.08857808857809 2.72727272727273 429 APP APP信息流
资产大额九格网络 1.18691588785047 -0.271028037383178 1.67289719626168 1.90654205607477 2.56730769230769 1.65420560747664 2.10204081632653 2.19672131147541 2.75862068965517 2.10344827586207 2.05607476635514 2.28971962616822 3.33673469387755 2.41379310344828 2.19626168224299 2.86206896551724 107 APP APP信息流
资产大额秋成科技 1.27607113985449 0.00646725949878739 1.61802748585287 1.79991915925627 2.1065306122449 1.78348846620801 2.04319654427646 2.13911143481428 2.31086142322097 1.73033707865169 1.77687954729184 2.00242522231205 2.97854640980736 2.16666666666667 2.0767987065481 2.812734082397 2474 APP APP贷超
资产大额秋成科技二 1.31428571428571 0 1.56 1.99428571428571 2.11494252873563 1.81034482758621 2.0679012345679 2.13471502590674 2.11764705882353 1.77941176470588 1.78 2.08571428571429 3.07878787878788 2.23529411764706 1.95142857142857 2.91176470588235 350 APP APP贷超
百度SEM-MB大额 1.1324200913242 0.0645792563600783 2.30789302022179 0.821917808219178 1.27272727272727 1.6764514024788 1.81958762886598 2.14109589041096 1.60373831775701 1.28411214953271 1.68949771689498 3.35094585779517 3.25291295407814 2.45420560747664 0.015003261578604 2.40747663551402 1533 M M站信息流
百度信息流大额 1.10852713178295 -0.186046511627907 2.5968992248062 0.697674418604651 0 1.81395348837209 1.68103448275862 2.18840579710145 1.57142857142857 1.30612244897959 1.89147286821705 3.44186046511628 3.26984126984127 2.08163265306122 -0.170542635658915 2.40816326530612 129 M M站信息流
百融白名单M站 1.19632451815329 0.105333930972658 2.37606454504706 1.48812191842223 2.32 2.17839533841327 2.57106469689251 2.37848006019564 3.18625954198473 2.36946564885496 1.76826535186015 3.57911250560287 2.91241534988713 2.11374045801527 -0.346033168982519 2.70076335877863 2231 M M站贷超
大额钱院 1.12962962962963 0.277777777777778 2.12037037037037 1.13888888888889 0 1.92592592592593 2.34782608695652 2.16883116883117 2.25531914893617 1.4468085106383 1.68518518518519 3.40740740740741 2.82407407407407 2 -0.0833333333333333 2.46808510638298 108 M M站其他类型渠道
大额优借M站 1.14540816326531 0.104591836734694 2 1.43112244897959 3 2.09438775510204 2.31005586592179 2.2112676056338 2.75449101796407 1.86826347305389 1.69897959183673 3.31377551020408 3.06958762886598 2.18562874251497 0.0357142857142857 2.66467065868263 392 M M站其他类型渠道
神马SEM大额 1.17677642980936 0.0155979202772964 2.1525129982669 0.762564991334489 1.625 1.76041666666667 1.86389413988658 2.20070422535211 1.77272727272727 1.28977272727273 1.68457538994801 3.18197573656846 3.16605839416058 2.39772727272727 0.240901213171577 2.55681818181818 577 M M站信息流
