sourcename sourcetype first_login_usertype qudao_type channel_category credit_bin firstchuo edu chuomode message_count_default boappnum biglinetype usertype jdcredit_score umeng_score risk_score pretax final_score td_3m td_1m cmax omax vcard rph rpo rpc query1m hoverdue2y ooverdue2y coverdue2y repaybin citylevel_bin
广点通 app 发标未成交 APP APP信息流 1 2018-07-26 4无学历 tb 0 2 APP 2发标未成交 NA 817 NA 05k-08k 33 0 1 60000 2400000 11 0 1414 22412 1 0 0 0 1 2线
APP资产大额51卡宝 app 发标未成交 APP APP贷超 2 2018-07-31 4无学历 tb 0 9 APP 2发标未成交 653.64 614 33 05k-08k 19 3 1 NA NA NA NA NA NA NA NA NA NA 2 5线
资产大额秋成科技 app 发标未成交 APP APP贷超 5 2018-07-20 4无学历 tb 0 1 APP 2发标未成交 640.96 588 60 missing 11 0 0 NA NA NA NA NA NA NA NA NA NA 2 6线及以下
百融白名单 app 纯新 APP APP贷超 2 2018-07-27 3专科 tb 0 6 APP 4有额未发标 747.48 NA 28 02k-05k 22 4 3 NA NA NA NA NA NA NA NA NA NA 1 6线及以下
大额优借 app 有额未发标 APP APP贷超 1 2018-08-03 2本科 wb 0 8 APP 4有额未发标 744.35 NA 44 missing 43 2 1 50000 75500 4 0 3979 5198 10 0 0 0 1 5线
广点通 app 发标未成交 APP APP信息流 5 2018-08-05 4无学历 wb 0 3 APP 2发标未成交 644.34 664 77 0-0 31 3 3 NA NA NA NA NA NA NA NA NA NA 3 5线
广点通 app 发标未成交 APP APP信息流 2 2018-07-31 4无学历 tb 1 29 APP 2发标未成交 512.63 342 37 02k-05k 10 4 0 NA NA NA NA NA NA NA NA NA NA 4 5线
广点通 app 发标未成交 APP APP信息流 3 2018-08-11 4无学历 tb 0 19 APP 2发标未成交 651.68 516 74 02k-05k 35 0 0 NA NA NA NA NA NA NA NA NA NA 5 2线
大额广点通 app 发标未成交 APP APP信息流 14 2018-08-06 4无学历 wb 0 1 APP 2发标未成交 637.03 552 38 missing 37 5 1 NA NA NA NA NA NA NA NA NA NA 4 2线
广点通 app 发标未成交 APP APP信息流 6 2018-07-26 4无学历 tb 4 8 APP 2发标未成交 633.9 410 89 missing 9 5 5 NA NA NA NA NA NA NA NA NA NA 5 1线
今日头条大额2 app 发标未成交 APP APP信息流 11 2018-08-11 4无学历 tb 0 2 APP 2发标未成交 516.33 607 66 0-02k 19 1 1 NA NA NA NA NA NA NA NA NA NA 2 3线
广点通 app 发标未成交 APP APP信息流 11 2018-08-10 4无学历 bb 3 13 APP 2发标未成交 635.62 503 42 08k-15k 34 0 6 NA NA NA NA NA NA NA NA NA NA 5 2线
神马SEM大额 app 发标未成交 APP APP信息流 1 2018-08-03 4无学历 gxb_m -1 0 M站 2发标未成交 606.54 800 25 0-02k 25 7 0 NA NA NA NA NA NA NA NA NA NA NA 6线及以下
广点通 app 发标未成交 APP APP信息流 -1 2018-07-29 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 592 54 missing 61 0 0 NA NA NA NA NA NA NA NA NA NA 2 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 1 2018-07-24 3专科 wb 0 1 APP 2发标未成交 NA 708 43 05k-08k 41 0 0 NA NA NA NA NA NA NA NA NA NA 1 4线
今日头条大额2 app 发标未成交 APP APP信息流 1 2018-07-25 2本科 gjj 3 20 APP 2发标未成交 607.68 626 65 15k-30k 66 18 6 NA NA NA NA NA NA NA NA NA NA 1 5线
原点时空大额 app 发标未成交 APP APP信息流 1 2018-07-17 4无学历 bb 0 1 APP 2发标未成交 644.36 692 48 0-0 42 0 0 NA NA NA NA NA NA NA NA NA NA 4 4线
广点通 app 发标未成交 APP APP信息流 -1 2018-07-25 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 755 67 missing 10 0 0 NA NA NA NA NA NA NA NA NA NA 2 6线及以下
百融白名单 app 发标未成交 APP APP贷超 -1 2018-07-24 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 667 65 missing NA NA NA 62083 150000 13 0 12579 13443 5 0 0 1 1 6线及以下
今日头条大额 app 发标未成交 APP APP信息流 -1 2018-07-25 4无学历 xiaoe_m -1 0 M站 2发标未成交 645.24 501 65 02k-05k 22 0 0 -1 2e+05 -1 0 2714 NA 6 0 1 -1 2 6线及以下
百融白名单 app 发标未成交 APP APP贷超 3 2018-08-03 4无学历 tb 0 4 APP 2发标未成交 NA 627 35 missing 21 4 3 5000 8000 4 0 1786 505 3 0 0 1 4 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 9 2018-08-11 4无学历 wb 0 2 APP 2发标未成交 NA 526 60 02k-05k 36 3 3 NA NA NA NA NA NA NA NA NA NA 1 4线
广点通 app 发标未成交 APP APP信息流 8 2018-07-31 4无学历 tb 0 1 APP 2发标未成交 NA 578 41 02k-05k 13 2 2 NA NA NA NA NA NA NA NA NA NA 4 2线
资产大额秋成科技 app 发标未成交 APP APP贷超 3 2018-07-23 4无学历 wb 0 2 APP 2发标未成交 742.73 788 48 02k-05k 8 0 0 NA NA NA NA NA NA NA NA NA NA 1 1线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-08-13 4无学历 wb 0 20 APP 2发标未成交 NA 800 37 missing 21 4 1 NA NA NA NA NA NA NA NA NA NA 5 4线
资产大额秋成科技二 app 发标未成交 APP APP贷超 1 2018-07-28 4无学历 wb 0 7 APP 2发标未成交 NA 811 27 missing 55 2 0 60000 70000 7 0 14648 8900 8 0 0 1 4 3线
资产大额秋成科技二 app 发标未成交 APP APP贷超 12 2018-08-13 4无学历 tb -1 0 APP 2发标未成交 517.54 369 31 0-02k 51 9 6 NA NA NA NA NA NA NA NA NA NA 2 5线
今日头条大额2 app 发标未成交 APP APP信息流 3 2018-08-03 4无学历 tb 0 2 APP 2发标未成交 NA 664 48 missing 6 1 1 47833 40000 5 1073.7871287129 4858 9630 1 0 0 0 2 4线
亿玛dsp app 发标未成交 APP APP信息流 8 2018-08-13 4无学历 tb 0 16 APP 2发标未成交 642.47 431 70 02k-05k 51 5 4 NA NA NA NA NA NA NA NA NA NA 5 1线
资产大额秋成科技 app 成交 APP APP贷超 17 2018-07-21 4无学历 wb 1 45 APP 2成交 609.49 378 26 02k-05k 90 0 0 NA NA NA NA NA NA NA NA NA NA 5 2线
今日头条大额2 app 发标未成交 APP APP信息流 2 2018-08-01 4无学历 wb 1 6 APP 2发标未成交 NA 578 67 08k-15k 26 4 4 NA NA NA NA NA NA NA NA NA NA 1 4线
资产大额秋成科技二 app 发标未成交 APP APP贷超 16 2018-08-06 4无学历 tb 0 3 APP 2发标未成交 647 388 38 0-02k 51 8 4 NA NA NA NA NA NA NA NA NA NA 5 4线
广点通 app 发标未成交 APP APP信息流 3 2018-08-07 4无学历 wb 0 6 APP 2发标未成交 635.2 652 84 0-02k 20 2 2 NA NA NA NA NA NA NA NA NA NA 5 5线
