sourcename sourcefeature sourcetype userid first_login_time first_login_usertype chuo_status first_chuo_bin youe_status fb_status cj_status allcj_status
搜狗SEM-MB大额 regsourceid=daesgmb M 83852195 2018-05-27 发标未成交 1 4 0 0 0 1
亿玛dsp app_feature=dae140_1052 app 86161991 2018-06-23 纯新 1 8 0 0 0 0
资产大额万谋数据 regsourceid=dae277 app 5602517 2018-06-13 发标未成交 1 4 0 0 0 0
亿玛dsp app_feature=dae138_1052 app 85922972 2018-06-21 纯新 1 11 0 0 0 1
大额亿玛dsp2 regsourceid=dae210 app 37413407 2018-06-22 发标未成交 1 11 0 0 0 0
百度信息流大额 regsourceid=dae041 app 17639556 2018-06-20 发标未成交 1 6 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 76730648 2018-06-12 发标未成交 1 15 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 38894251 2018-06-06 纯新 1 2 0 0 0 1
广点通 regsourceid=dae012 app 73635038 2018-06-15 发标未成交 1 8 0 0 0 0
广点通 app_feature=dae181_1052 app 84909448 2018-06-08 纯新 1 5 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 22804592 2018-06-10 发标未成交 1 12 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb M 54319412 2018-06-04 发标未成交 1 3 0 0 0 0
广点通 regsourceid=dae016 app 84509015 2018-06-03 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 75165863 2018-05-23 戳额无额度 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 84498432 2018-06-04 纯新 1 19 0 0 0 0
广点通 regsourceid=dae046 app 54818094 2018-06-13 纯新 1 5 1 1 1 1
广点通 regsourceid=dae054 app 85335941 2018-06-14 纯新 1 5 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 75844800 2018-06-18 纯新 1 9 0 0 0 1
广点通 regsourceid=dae012 app 57934839 2018-06-13 纯新 1 5 0 0 0 0
信贷员名单 regsourceid=dae024 app 84731515 2018-06-06 纯新 1 2 1 1 1 1
大额优借 regsourceid=dae249 app 85089271 2018-06-11 纯新 1 11 0 0 0 1
搜狗SEM-MB大额 regsourceid=daesgmb01 app 85022276 2018-06-11 纯新 1 4 1 0 0 1
广点通 regsourceid=dae016 app 47615789 2018-06-04 发标未成交 1 9 0 0 0 0
广点通 regsourceid=dae061 app 19547084 2018-06-05 发标未成交 1 4 1 1 1 1
陌陌信息流大额 regsourceid=dae040 app 60209740 2018-06-09 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 19308235 2018-06-16 发标未成交 1 17 0 0 0 0
广点通 app_feature=dae183_1052 app 85797257 2018-06-20 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 84275247 2018-05-31 纯新 0 NA 0 0 0 0
APP资产大额还呗 regsourceid=dae129 app 79551792 2018-06-21 有额未发标 1 1 1 0 0 0
神马SEM大额 app_feature=dae288_1052 app 85768626 2018-06-19 纯新 1 6 0 0 0 0
亿玛dsp app_feature=dae137_1052 app 41936235 2018-06-14 发标未成交 1 14 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 17743603 2018-06-14 发标未成交 1 10 0 0 0 1
广点通 regsourceid=dae012 app 19033625 2018-06-12 发标未成交 1 2 1 0 0 0
陌陌信息流大额 regsourceid=dae040 app 85021229 2018-06-10 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae139_1052 app 85496774 2018-06-16 发标未成交 1 5 1 1 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 63957759 2018-06-08 发标未成交 1 1 1 1 0 0
APP资产大额51卡宝 regsourceid=dae116 app 67415921 2018-06-11 发标未成交 1 1 1 0 0 1
广点通 regsourceid=dae011 app 82735137 2018-05-08 纯新 1 13 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 24478213 2018-06-08 发标未成交 1 17 0 0 0 0
广点通 regsourceid=dae046 app 79370864 2018-05-31 发标未成交 1 4 0 0 0 0
广点通 regsourceid=dae016 app 65761534 2018-06-15 发标未成交 1 3 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 71145398 2018-06-17 发标未成交 1 12 0 0 0 1
神马SEM大额 regsourceid=dae042 app 25192671 2018-06-08 发标未成交 1 8 0 0 0 0
广点通 app_feature=dae181_1052 app 85128269 2018-06-11 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 61499207 2018-05-13 发标未成交 1 3 0 0 0 0
广点通 regsourceid=dae161 app 35778630 2018-06-23 发标未成交 1 10 0 0 0 0
百度信息流大额 regsourceid=dae041 app 46709561 2018-05-30 发标未成交 1 17 0 0 0 0
广点通 regsourceid=dae015 app 8563494 2018-05-19 发标未成交 1 7 0 0 0 0
广点通 regsourceid=dae016 app 64472215 2018-05-04 发标未成交 1 2 0 0 0 0
今日头条大额 regsourceid=dae260 app 85789217 2018-06-20 纯新 0 NA 0 0 0 0
资产大额淘钱宝 regsourceid=dae096 app 84715054 2018-06-06 纯新 1 9 0 0 0 0
神马SEM大额 regsourceid=dae042 app 86008614 2018-06-22 纯新 0 NA 0 0 0 0
神马SEM大额 regsourceid=dae042 app 55093950 2018-06-20 戳额无额度 1 13 0 0 0 0
广点通 app_feature=dae183_1052 app 53714745 2018-05-22 成交 1 15 0 0 0 0
广点通 regsourceid=dae054 app 73328071 2018-06-12 发标未成交 1 19 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 32925469 2018-06-20 发标未成交 1 3 0 0 0 0
资产大额淘钱宝 regsourceid=dae096 app 32186363 2018-06-11 发标未成交 1 8 0 0 0 0
广点通 regsourceid=dae016 app 22824912 2018-05-22 发标未成交 1 8 0 0 0 0
广点通 app_feature=dae182_1052 app 73975194 2018-06-14 发标未成交 1 9 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 6389977 2018-06-10 发标未成交 1 20 0 0 0 0
运营短信营销 regsourceid=dae112 app 71963577 2018-06-22 有额未发标 1 2 0 0 0 0
广点通 regsourceid=dae016 app 50468215 2018-06-13 发标未成交 1 10 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb01 app 27047792 2018-06-06 发标未成交 1 2 1 1 0 0
广点通 regsourceid=dae016 app 34768072 2018-05-29 发标未成交 1 11 0 0 0 0
广点通 regsourceid=dae046 app 24103917 2018-06-22 发标未成交 1 6 0 0 0 0
神马SEM大额 regsourceid=daeshenma M 85894890 2018-06-21 戳额无额度 1 15 0 0 0 0
亿玛dsp app_feature=dae138_1052 app 1694952 2018-06-13 发标未成交 1 2 0 0 0 1
资产大额万谋数据 regsourceid=dae277 app 30953371 2018-06-15 发标未成交 1 1 0 0 0 0
资产大额万谋数据 regsourceid=dae277 app 85190062 2018-06-12 纯新 1 3 1 1 1 1
广点通 regsourceid=dae016 app 84784184 2018-06-11 发标未成交 1 4 0 0 0 0
百度信息流大额 regsourceid=dae041 app 82812702 2018-06-13 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 85931111 2018-06-23 纯新 0 NA 0 0 0 1
广点通 regsourceid=dae015 app 75325574 2018-06-21 发标未成交 1 2 0 0 0 0
广点通 regsourceid=dae046 app 50376057 2018-06-17 发标未成交 1 17 0 0 0 0
资产大额M站51信用卡 regsourceid=zcda51xinyongka app 7639892 2018-05-15 发标未成交 1 18 0 0 0 0
运营短信营销 regsourceid=dae112 app 76468898 2018-06-07 有额未发标 1 4 1 1 1 1
百度SEM-MB大额 regsourceid=daebaidumb M 83633438 2018-06-08 纯新 1 8 1 1 1 1
今日头条大额 regsourceid=dae241 app 55703327 2018-06-14 发标未成交 1 11 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 15590235 2018-06-17 发标未成交 1 13 0 0 0 0
广点通 regsourceid=dae006 app 83093294 2018-05-16 发标未成交 1 12 0 0 0 1
资产大额淘钱宝 regsourceid=dae096 app 8075210 2018-05-15 发标未成交 1 10 0 0 0 0
亿玛dsp app_feature=dae140_1052 app 80882650 2018-06-21 戳额无额度 1 20 0 0 0 0
广点通 regsourceid=dae016 app 76992767 2018-05-22 发标未成交 1 12 0 0 0 0
广点通 regsourceid=dae016 app 78513483 2018-05-20 发标未成交 1 2 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb M 29527844 2018-05-24 发标未成交 1 15 0 0 0 1
