sourcename num edu usertype citylevel bin rbin tc jd um cmax omax pre bo td1 td2 zx1 def zx2 qudao_type
资产大额秋成科技 2537 0.0413874655104454 0.274733937721719 0.260149783208514 0.409932991722507 0.166931637519873 0.0288082083662194 0.111747851002865 0.133079847908745 0.18232044198895 0.224677716390424 0.138352384706346 0.27985810011825 0.525503643377625 0.973762166737199 0.286527514231499 0.801854563201562 0.548802946593002 APP
资产大额秋成科技二 341 0.0498533724340176 0.255131964809384 0.24633431085044 0.436950146627566 0.138643067846608 0.0442477876106195 0.137362637362637 0.132911392405063 0.175675675675676 0.22972972972973 0.143695014662757 0.299120234604106 0.557632398753894 0.972049689440994 0.383561643835616 0.824626865671642 0.594594594594595 APP
百度SEM-MB大额 1510 0.0291390728476821 0.47682119205298 0.308609271523179 0.102649006622517 0 0.023841059602649 0.092741935483871 0.122871946706144 0.101851851851852 0.189814814814815 0.129801324503311 0.788079470198676 0.556094182825485 0.994694960212202 0.415865384615385 0.802564102564103 0.446759259259259 M
百度信息流大额 128 0.015625 0.5390625 0.2109375 0.0625 NA 0.0078125 0.0869565217391304 0.0782608695652174 0.0851063829787234 0.191489361702128 0.1875 0.7890625 0.512 1 0.409090909090909 0.785714285714286 0.468085106382979 M
百融白名单M站 909 0.0341034103410341 0.464246424642464 0.287128712871287 0.168316831683168 0 0.0693069306930693 0.149425287356322 0.218713450292398 0.243037974683544 0.324050632911392 0.179317931793179 0.837183718371837 0.477348066298343 0.987898789878988 0.237960339943343 0.841530054644809 0.435443037974684 M
大额朋友圈M站 83 0.0963855421686747 0.542168674698795 0.650602409638554 0.156626506024096 NA 0.0843373493975904 0.230769230769231 0.269230769230769 0.65 0.7 0.204819277108434 0.963855421686747 0.707317073170732 1 0.421052631578947 1 0.55 M
大额钱院 75 0.0266666666666667 0.426666666666667 0.386666666666667 0.173333333333333 NA 0.12 0.12962962962963 0.246153846153846 0.179487179487179 0.102564102564103 0.173333333333333 0.866666666666667 0.506666666666667 0.986666666666667 0.210526315789474 0.75 0.41025641025641 M
大额优借M站 118 0.00847457627118644 0.415254237288136 0.305084745762712 0.203389830508475 1 0.0508474576271186 0.0606060606060606 0.238938053097345 0.296296296296296 0.277777777777778 0.169491525423729 0.838983050847458 0.598290598290598 0.991525423728814 0.254901960784314 0.92 0.481481481481481 M
神马SEM大额 480 0.0333333333333333 0.454166666666667 0.260416666666667 0.0770833333333333 0.2 0.0292275574112735 0.0934959349593496 0.128378378378378 0.111111111111111 0.2 0.164583333333333 0.764583333333333 0.607843137254902 0.997916666666667 0.371212121212121 0.722627737226277 0.518518518518518 M
搜狗SEM-MB大额 1027 0.0243427458617332 0.487828627069133 0.242453748782863 0.0603700097370983 0.133333333333333 0.0234146341463415 0.0716845878136201 0.0837867247007617 0.158333333333333 0.1625 0.112950340798442 0.757546251217137 0.599794238683128 0.991228070175439 0.493449781659389 0.821538461538462 0.475 M
